,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindSpeed9am
0,6.3,NW,30.0,SW,6.0
1,9.7,ENE,39.0,E,4.0
2,3.3,NW,85.0,N,6.0
3,9.1,NW,54.0,WNW,30.0
4,10.6,SSE,50.0,SSE,20.0
5,8.2,SE,44.0,SE,20.0
6,8.4,SE,43.0,SE,19.0
7,4.6,E,41.0,SE,11.0
8,4.1,S,48.0,E,19.0
9,7.7,E,31.0,S,7.0
10,11.9,N,30.0,SE,6.0
11,12.5,E,41.0,E,2.0
12,13.0,WNW,30.0,S,6.0
13,12.4,NW,44.0,WNW,7.0
14,13.1,NW,41.0,S,6.0
15,11.1,E,46.0,SE,7.0
16,8.4,ESE,44.0,WSW,6.0
17,10.1,S,52.0,SW,6.0
18,13.0,E,39.0,NNE,4.0
19,10.4,NE,33.0,NNW,2.0
20,9.5,WNW,59.0,N,2.0
21,0.0,E,26.0,ENE,6.0
22,0.6,ESE,28.0,S,13.0
23,7.5,NNE,26.0,WSW,6.0
24,8.1,ENE,33.0,SSE,9.0
25,8.9,E,41.0,E,6.0
26,2.3,ENE,39.0,E,20.0
27,10.7,S,52.0,S,6.0
28,0.4,SE,39.0,SE,7.0
29,0.5,NNW,30.0,SSW,6.0
30,0.2,SSE,41.0,E,6.0
31,12.0,NNE,41.0,E,6.0
32,4.7,NW,50.0,WNW,13.0
33,11.8,NW,50.0,NW,20.0
34,9.8,ENE,43.0,ESE,11.0
35,6.3,ENE,39.0,ESE,13.0
36,8.8,SW,41.0,NW,6.0
37,8.8,NE,39.0,E,7.0
38,11.1,NW,43.0,N,9.0
39,10.0,NNW,35.0,NNE,11.0
40,2.3,ENE,35.0,ESE,9.0
41,7.3,ENE,41.0,ESE,15.0
42,3.6,SE,39.0,ESE,22.0
43,12.7,E,35.0,NNW,6.0
44,8.8,E,41.0,SE,2.0
45,0.9,S,31.0,SSE,6.0
46,10.6,ESE,48.0,SSE,13.0
47,8.7,ENE,39.0,SE,13.0
48,0.8,NE,22.0,NE,7.0
49,2.3,NNW,30.0,N,4.0
50,8.1,N,41.0,NW,6.0
51,5.9,NNW,76.0,N,41.0
52,10.2,ENE,39.0,N,9.0
53,12.1,NW,44.0,NNW,7.0
54,5.6,E,41.0,SE,11.0
55,13.0,NNW,41.0,W,6.0
56,7.1,NNW,65.0,N,7.0
57,13.2,NNW,28.0,NNW,6.0
58,13.6,NNW,30.0,NW,6.0
59,13.0,E,39.0,SSW,6.0
60,13.6,NE,31.0,SSE,7.0
61,12.8,NNE,35.0,ESE,2.0
62,10.5,ESE,41.0,ESE,2.0
63,2.2,ESE,50.0,ESE,20.0
64,12.5,ESE,46.0,ESE,24.0
65,11.7,NE,35.0,SSE,7.0
66,10.5,ENE,39.0,W,6.0
67,12.6,ENE,39.0,E,11.0
68,8.1,E,46.0,E,7.0
69,8.8,E,43.0,E,13.0
70,12.8,NE,33.0,WNW,6.0
71,13.3,SSE,57.0,NNW,6.0
72,6.9,SW,50.0,E,4.0
