type	latitude	longitude	altitude (m)	eos	color	opacity	name	desc	kml_folder
T	-1.100108692	37.012773786	1521.2		#ff0000	1.00	Area		Data
T	-1.099980347	37.013731104	1522.5						
T	-1.098893409	37.013679704	1522.7						
T	-1.098296925	37.013653718	1523.2						
T	-1.098277510	37.012825036	1522.2						
T	-1.098359120	37.012338111	1520.8						
T	-1.098575147	37.011742448	1520.1						
T	-1.100108692	37.012773786	1521.2						

type	latitude	longitude	altitude (m)	eos	color	opacity	name	desc	kml_folder
T	-1.098860257	37.012802983	1521.6		#ffff00	1.00	Building		Data
T	-1.098835477	37.013408132	1522.8						
T	-1.098690773	37.013400799	1523.1						
T	-1.098686952	37.013285061	1523.0						
T	-1.098462725	37.013281337	1523.5						
T	-1.098465851	37.013078635	1522.9						
T	-1.098686648	37.013085901	1522.5						
T	-1.098700645	37.012795720	1521.8						
T	-1.098860257	37.012802983	1521.6	1					
T	-1.099426084	37.012832028	1521.4						
T	-1.099589299	37.012828398	1521.4						
T	-1.099581870	37.013067803	1521.7						
T	-1.099810273	37.013071429	1521.7						
T	-1.099799396	37.013357891	1522.0						
T	-1.099567369	37.013354265	1522.0						
T	-1.099560117	37.013593588	1522.3						
T	-1.099407849	37.013582709	1522.3						
T	-1.099426084	37.012832028	1521.4	1					
T	-1.099582430	37.012584946	1521.1						
T	-1.099749109	37.012726710	1521.3						
T	-1.099676339	37.012832028	1521.4						
T	-1.099502435	37.012686741	1521.2						
T	-1.099582430	37.012584946	1521.1	1					
T	-1.099038120	37.013281609	1522.2						
T	-1.099121463	37.013401182	1522.2						
T	-1.099088861	37.013426507	1522.3						
T	-1.099085245	37.013473571	1522.3						
T	-1.099106980	37.013524296	1522.3						
T	-1.098998369	37.013629125	1522.5						
T	-1.098940448	37.013549408	1522.6						
T	-1.098925944	37.013473396	1522.6						
T	-1.098944004	37.013393796	1522.5						
T	-1.098980177	37.013325043	1522.4						
T	-1.099038120	37.013281609	1522.2						

type	latitude	longitude	altitude (m)	eos	color	opacity	name	desc	kml_folder
T	-1.098877741	37.013108882	1522.2		#00aa00	1.00	Parking		Data
T	-1.099023169	37.013114655	1522.0						
T	-1.099043790	37.012621700	1521.2						
T	-1.099205344	37.012629522	1521.2						
T	-1.099188126	37.013118515	1521.7						
T	-1.099417237	37.013132043	1521.8						
T	-1.099411410	37.013271897	1521.9						
T	-1.098872115	37.013233097	1522.5						
T	-1.098877741	37.013108882	1522.2						

type	latitude	longitude	altitude (m)	eos	color	opacity	name	desc	kml_folder
T	-1.098401612	37.013433145	1523.6		#ff0000	1.00	FootPath		Data
T	-1.098856407	37.013450469	1522.7						
T	-1.098972094	37.013653720	1522.6						
T	-1.099587122	37.013673872	1522.4						
T	-1.099931604	37.013820060	1522.6	1					
T	-1.098668668	37.012036111	1520.4						
T	-1.098902671	37.012308815	1520.8						
T	-1.099072582	37.012534289	1521.0						
T	-1.099110745	37.012627787	1521.2						

type	latitude	longitude	altitude (m)	eos	color	opacity	name	desc	kml_folder
T	-1.098655745	37.011797106	1520.2		#0000ff	1.00	Road		Data
T	-1.098439651	37.012411120	1520.9						
T	-1.098405875	37.012517398	1521.1						
T	-1.098355700	37.012950113	1522.6						
T	-1.098308898	37.013963861	1522.5	1					
T	-1.098431191	37.012428133	1520.9						
T	-1.098783693	37.012568295	1521.2						
T	-1.099102296	37.012568295	1521.1						
T	-1.099110734	37.012640533	1521.2	1					
T	-1.098364534	37.013339714	1523.9						
T	-1.097809915	37.013318335	1522.7						
T	-1.097546704	37.013322890	1522.1						

type	latitude	longitude	altitude (m)	eos	color	opacity	name	desc	kml_folder
T	-1.098688971	37.011816910	1520.2		#0000ff	1.00	SH		Data
T	-1.098689092	37.011863960	1520.2						
T	-1.098689148	37.011885342	1520.3						
T	-1.098684935	37.011902445	1520.3						
T	-1.098680745	37.011928096	1520.3						
T	-1.098672288	37.011949469	1520.3						
T	-1.098668089	37.011970839	1520.4						
T	-1.098659622	37.011987933	1520.4						
T	-1.098646901	37.012005024	1520.4						
T	-1.098629946	37.012026397	1520.4						
T	-1.098608765	37.012039292	1520.4						
T	-1.098600305	37.012047865	1520.5						
T	-1.098587627	37.012064995	1520.5						
T	-1.098583435	37.012082091	1520.5						
T	-1.098570774	37.012103484	1520.5						
T	-1.098566571	37.012116306	1520.5						
T	-1.098562369	37.012129127	1520.6						
T	-1.098553953	37.012150495	1520.6						
T	-1.098549777	37.012171846	1520.6						
T	-1.098541390	37.012201740	1520.6						
T	-1.098541455	37.012223069	1520.7						
T	-1.098537268	37.012240143	1520.7						
T	-1.098537321	37.012257203	1520.7						
T	-1.098528924	37.012282813	1520.7						
T	-1.098520489	37.012295628	1520.8						
T	-1.098503637	37.012325516	1520.8						
T	-1.098486817	37.012363916	1520.8						
T	-1.098474251	37.012406553	1520.9						
T	-1.098474405	37.012453401	1520.9						
T	-1.098466078	37.012495998	1521.0						
T	-1.098457726	37.012530070	1521.1						
T	-1.098440956	37.012576913	1521.3						
T	-1.098432711	37.012640733	1521.5						
T	-1.098424397	37.012683268	1521.6						
T	-1.098416027	37.012708788	1521.7						
T	-1.098407659	37.012734303	1521.8						
T	-1.098399278	37.012755562	1521.9						
T	-1.098390913	37.012781066	1522.0						
T	-1.098386777	37.012806560	1522.1						
