type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	-1.096111555	37.011717225	1522.2	Traverse		Traverse.kmz
T	-1.096191942	37.012929268	1524.6			
T	-1.096113566	37.013349922	1525.0			
T	-1.098226978	37.013279571	1523.6			
T	-1.098443162	37.012485747	1521.0			
T	-1.099019976	37.012235890	1520.7			
T	-1.099329834	37.012751293	1521.3			
T	-1.099957928	37.012916355	1521.5			
T	-1.099895661	37.013660823	1522.4			
T	-1.099363514	37.013751776	1522.5			
T	-1.099104178	37.013216164	1522.0			
T	-1.098354753	37.013728196	1523.0			
T	-1.098235224	37.014668053	1518.9			
T	-1.096423952	37.014832952	1523.9			
T	-1.096595554	37.015391546	1522.4			
